"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Trundle",0.4967,196231,97468,0.4943,157805,78003,0.084,-4e-04,0.0066,0.1556
"Aatrox",0.4826,1079888,521154,0.4825,1019982,492141,0,0.0076,0.0145,0
"Akali",0.4522,395614,178897,0.4543,350747,159344,0,0.0362,0.0432,0
"Camille",0.4862,427839,208015,0.4889,449721,219869,0.0059,0.0014,0.0084,2e-04
"Cassiopeia",0.5098,88900,45321,0.5125,78787,40378,0,-0.0229,-0.013,0
"Cho'Gath",0.4844,508071,246110,0.4845,402182,194857,0,0.0054,0.0124,0
"Darius",0.4982,2129628,1060981,0.4998,1854183,926721,1e-04,-0.0107,-0.0037,0
"Dr. Mundo",0.5157,557058,287275,0.5146,478457,246214,0,-0.024,-0.017,0
"Fiora",0.507,1380063,699692,0.5059,1332491,674107,0,-0.014,-0.0071,0
"Gangplank",0.4652,521951,242812,0.4691,461243,216369,0,0.0218,0.0288,0
"Garen",0.5153,2611427,1345668,0.5162,2302052,1188319,0,-0.0251,-0.0181,0
"Hecarim",0.4959,49297,24446,0.4946,68840,34048,0.8206,-0.0047,0.0059,0.8968
"Heimerdinger",0.4996,155470,77673,0.5007,138031,69112,0.0013,-0.0098,-0.0024,5e-04
"Illaoi",0.5117,826195,422764,0.5105,719809,367462,0,-0.0204,-0.0135,0
"Jax",0.4951,1289572,638467,0.499,1181809,589723,0.0573,-0.0069,1e-04,5e-04
"Jayce",0.4735,383590,181630,0.4754,352551,167603,0,0.0151,0.0221,0
"Kalista",0.4623,67913,31396,0.4662,55650,25944,0,0.022,0.0338,0
"Kayle",0.504,561404,282948,0.5027,505332,254030,1e-04,-0.0105,-0.0035,0
"Kennen",0.4791,227702,109092,0.4824,198199,95611,0,0.0088,0.0158,0
"Malphite",0.5134,1137022,583747,0.5135,1005084,516111,0,-0.0229,-0.0159,0
"Mordekaiser",0.499,1969766,982913,0.4994,1705891,851922,0.0034,-0.0087,-0.0017,1e-04
"Nasus",0.5257,1724815,906735,0.523,1437636,751884,0,-0.0322,-0.0252,0
"Neeko",0.5059,65899,33338,0.5056,52282,26434,0.0054,-0.0146,-0.0025,0
"Olaf",0.4909,193732,95103,0.4946,197649,97757,0.9234,-0.0037,0.0033,0.8594
"Ornn",0.4972,1095735,544799,0.498,972914,484511,0.4359,-0.0049,0.0021,0.0064
"Pantheon",0.458,208551,95516,0.4586,207143,94996,0,0.0315,0.0385,0
"Poppy",0.4931,373417,184132,0.4948,366716,181451,0.8729,-0.0038,0.0032,0.7398
"Renekton",0.486,1718178,835035,0.4857,1510972,733879,2e-04,0.0032,0.0101,0
"Rengar",0.5086,226781,115341,0.5142,187090,96202,0,-0.0239,-0.017,0
"Riven",0.4833,622631,300918,0.4863,579818,281965,0,0.0047,0.0117,0
"Rumble",0.4859,166826,81061,0.4859,143100,69532,0,0.0048,0.0121,0
"Ryze",0.4647,201210,93502,0.4641,166816,77419,0,0.0267,0.0337,0
"Sett",0.4972,1566813,779019,0.4987,1381927,689167,0.0164,-0.0078,-8e-04,9e-04
"Shen",0.5105,940509,480130,0.5107,867184,442871,0,-0.0201,-0.0132,0
"Shyvana",0.5135,95558,49069,0.5155,72668,37460,0,-0.0225,-0.0123,0
"Singed",0.5221,389352,203281,0.5281,353341,186599,0,-0.0363,-0.0294,0
"Sion",0.5144,407391,209562,0.5144,363867,187173,0,-0.0246,-0.0176,0
"Skarner",0.506,17727,8970,0.4992,16719,8346,0.9392,-0.0112,0.0103,0.2289
"Swain",0.4962,68401,33941,0.4962,62019,30774,0.3176,-0.0084,0.0027,0.4219
"Sylas",0.4709,465667,219283,0.471,350719,165189,0,0.0226,0.0296,0
"Tahm Kench",0.4977,110310,54901,0.4917,106020,52130,0.5265,-0.0029,0.0056,0.1903
"Teemo",0.5162,1345751,694677,0.516,1188609,613322,0,-0.0261,-0.0192,0
"Tryndamere",0.497,1025784,509815,0.4994,911407,455157,0.0015,-0.0091,-0.0022,2e-04
"Urgot",0.5331,1069759,570289,0.5312,1015618,539496,0,-0.0403,-0.0333,0
"Vayne",0.4871,481365,234473,0.4877,391279,190827,0,0.0044,0.0114,0
"Vladimir",0.4769,567358,270573,0.4769,480424,229114,0,0.013,0.0199,0
"Volibear",0.5212,421322,219593,0.5199,377408,196214,0,-0.03,-0.023,0
"Yasuo",0.4871,529946,258137,0.4867,429258,208920,1e-04,0.0036,0.0106,0
"Yorick",0.5272,599411,316009,0.5256,535579,281500,0,-0.0343,-0.0274,0
