"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Lissandra",0.4744,22649,10745,0.4823,31835,15354,0.0578,-0.0181,3e-04,0.0694
"Aatrox",0.4638,1007305,467188,0.4642,1084698,503517,0,0.0122,0.0276,0
"Akali",0.4353,238541,103837,0.4432,284485,126084,0,0.0325,0.048,0
"Camille",0.4814,353789,170314,0.4886,371776,181650,0.1288,-0.0137,0.0017,0.0309
"Cassiopeia",0.5167,67802,35033,0.5073,72704,36883,0,-0.035,-0.0194,0
"Cho'Gath",0.4877,347834,169639,0.4843,377950,183041,0.3913,-0.0111,0.0044,0.4928
"Darius",0.5065,1979041,1002384,0.514,2280171,1172008,0,-0.0364,-0.0208,0
"Dr. Mundo",0.5126,420871,215738,0.5112,477018,243852,0,-0.0321,-0.0166,0
"Fiora",0.4951,945576,468155,0.5072,1201216,609257,0,-0.0331,-0.0175,0
"Gangplank",0.4729,372041,175938,0.4702,409358,192480,0.0273,0.001,0.0164,0
"Heimerdinger",0.4933,137471,67814,0.4933,154232,76083,0.0053,-0.0188,-0.0033,3e-04
"Illaoi",0.5016,718556,360428,0.5072,747269,379015,0,-0.0333,-0.0178,0
"Irelia",0.4437,654697,290489,0.4591,813000,373248,0,0.0156,0.031,0
"Jax",0.4914,943805,463786,0.4919,1184177,582497,3e-04,-0.0221,-0.0066,7e-04
"Karma",0.4858,63731,30961,0.4849,68373,33154,0.8737,-0.0084,0.0071,0.4433
"Kayle",0.5134,503242,258364,0.5094,529124,269536,0,-0.0361,-0.0206,0
"Kennen",0.4831,243875,117816,0.4796,254771,122188,0.194,-0.0026,0.0129,0.3633
"Kled",0.5131,377865,193883,0.5266,470438,247733,0,-0.0508,-0.0354,0
"Malphite",0.5144,810235,416785,0.5093,1007627,513184,0,-0.0325,-0.0171,0
"Maokai",0.5247,410532,215406,0.5267,564364,297251,0,-0.0524,-0.0368,0
"Mordekaiser",0.5014,1787974,896490,0.4999,1983632,991618,0,-0.0261,-0.0107,0
"Nasus",0.5144,1124193,578285,0.5034,1201570,604870,0,-0.0339,-0.0184,0
"Olaf",0.4792,171010,81948,0.4869,192951,93948,0.2905,-0.0119,0.0036,0.128
"Pantheon",0.4623,278820,128898,0.4618,331186,152942,0,0.0094,0.0249,0
"Poppy",0.4936,313246,154618,0.4956,366431,181603,0.0038,-0.0192,-0.0037,0
"Quinn",0.5042,305127,153845,0.5026,332215,166971,0,-0.0284,-0.0128,0
"Renekton",0.478,1132321,541249,0.4872,1396627,680437,0.0376,-0.016,-5e-04,0.0837
"Rengar",0.5105,203140,103703,0.5088,242600,123435,0,-0.0336,-0.0182,0
"Riven",0.4741,543843,257836,0.4737,598330,283429,0.0198,0.0015,0.017,0.0028
"Rumble",0.4809,234308,112679,0.4851,191087,92696,0.4369,-0.0108,0.0047,0.3549
"Ryze",0.4539,294987,133895,0.4496,292137,131345,0,0.0225,0.0381,0
"Shen",0.5188,732746,380149,0.5147,924288,475731,0,-0.0391,-0.0236,0
"Sion",0.5191,246680,128052,0.5181,287409,148907,0,-0.0414,-0.026,0
"Skarner",0.4976,24984,12432,0.5045,19034,9603,3e-04,-0.0289,-0.0086,0
"Swain",0.5044,71418,36023,0.4985,71436,35611,0,-0.0268,-0.0113,0
"Tahm Kench",0.4875,77941,37996,0.4879,97823,47728,0.3616,-0.0114,0.0041,0.0824
"Teemo",0.5128,1012435,519177,0.5134,1180604,606122,0,-0.0374,-0.0219,0
"Trundle",0.4914,143672,70600,0.5034,195458,98394,0,-0.0283,-0.0127,0
"Tryndamere",0.4929,848506,418229,0.4973,984316,489500,0,-0.0246,-0.0091,0
"Urgot",0.5122,445534,228203,0.5101,501172,255648,0,-0.0348,-0.0193,0
"Vayne",0.4866,446702,217365,0.4859,495767,240893,0.8554,-0.0085,0.007,0.2128
"Viktor",0.4975,35656,17739,0.4939,33870,16728,0.0026,-0.0197,-0.0042,0.003
"Vladimir",0.4792,633871,303751,0.474,627909,297629,0.0018,0.0046,0.0201,0.0038
"Volibear",0.5213,264022,137635,0.5266,344440,181382,0,-0.0512,-0.0357,0
"Wukong",0.4906,68468,33590,0.4981,74229,36973,0,-0.024,-0.0086,0
"Yasuo",0.4826,535763,258559,0.4795,573311,274903,0.1633,-0.0132,0.0022,0.3306
"Yorick",0.5269,449145,236655,0.5291,478509,253179,0,-0.0583,-0.0428,0
"Zac",0.5076,144298,73246,0.5097,195289,99539,0,-0.0337,-0.0182,0
