"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Volibear",0.5119,1151704,589557,0.5037,924984,465914,0,0.0068,0.0097,0
"Aatrox",0.4781,848383,405612,0.4796,727459,348889,0,0.0227,0.0259,0
"Akali",0.4631,357889,165738,0.4627,375424,173709,0,0.0403,0.0448,0
"Camille",0.494,612323,302488,0.498,665552,331445,0,0.0039,0.0073,0
"Cho'Gath",0.4852,311266,151026,0.4873,308459,150312,0,0.0138,0.0188,0
"Darius",0.4956,1619122,802437,0.4999,1571155,785420,0,0.002,0.0049,0
"Dr. Mundo",0.5102,356877,182079,0.5132,354686,182025,0,-0.0123,-0.0077,0
"Fiddlesticks",0.5113,184949,94564,0.513,139186,71402,0,-0.0136,-0.0062,0
"Fiora",0.5034,939809,473100,0.502,865704,434583,0.0538,0,0.003,0.023
"Gangplank",0.472,355268,167686,0.47,352827,165829,0,0.0316,0.0363,0
"Garen",0.5225,2101412,1097988,0.524,2078222,1088988,0,-0.0215,-0.0186,0
"Gragas",0.4753,34622,16456,0.478,44015,21039,0,0.021,0.0342,0
"Hecarim",0.4983,76890,38314,0.4977,70126,34902,0.0418,2e-04,0.0107,0.0022
"Heimerdinger",0.5011,128251,64267,0.4977,129927,64665,0.001,0.0026,0.0103,1e-04
"Illaoi",0.5016,618595,310287,0.5012,596439,298935,0.0153,4e-04,0.004,0.0026
"Irelia",0.4622,815045,376714,0.4622,756213,349522,0,0.0398,0.043,0
"Jax",0.5007,1043653,522557,0.4987,977408,487433,0,0.0035,0.0064,0
"Jayce",0.4767,325526,155178,0.4766,336155,160211,0,0.0247,0.0295,0
"Kayle",0.5064,455895,230865,0.5057,452184,228669,0.0831,-0.0039,2e-04,0.0275
"Kennen",0.4815,231706,111566,0.4855,260756,126597,0,0.0139,0.0193,0
"Kled",0.5093,300929,153263,0.5113,267916,136985,0,-0.0093,-0.0039,0
"Lissandra",0.4877,23966,11688,0.4891,23468,11478,0.0011,0.006,0.0241,0
"Malphite",0.5148,865269,445440,0.5157,900767,464526,0,-0.0135,-0.0106,0
"Maokai",0.5214,460400,240053,0.5211,502505,261855,0,-0.02,-0.0161,0
"Mordekaiser",0.4953,1517234,751486,0.4959,1508048,747841,0,0.0069,0.0098,0
"Nasus",0.5204,1028402,535180,0.5199,1015567,527993,0,-0.0176,-0.0148,0
"Neeko",0.5068,47839,24245,0.5028,52332,26313,0.6692,-0.0047,0.0074,0.6918
"Olaf",0.4861,143278,69647,0.489,138214,67587,0,0.0109,0.0184,0
"Pantheon",0.4618,124538,57512,0.4586,119433,54772,0,0.0413,0.0492,0
"Poppy",0.4958,354389,175706,0.4975,325625,161998,0,0.004,0.0088,0
"Quinn",0.516,404054,208492,0.5157,408950,210896,0,-0.0138,-0.0095,0
"Renekton",0.4852,1195708,580158,0.4843,1118117,541504,0,0.018,0.0209,0
"Rengar",0.5117,148689,76084,0.5107,152564,77914,3e-04,-0.01,-0.0029,0
"Rumble",0.4846,119917,58112,0.48,166078,79717,0,0.0229,0.0297,0
"Sett",0.4955,1241582,615204,0.4977,1260855,627528,0,0.0044,0.0073,0
"Shen",0.5156,848544,437509,0.5142,879143,452055,0,-0.012,-0.0091,0
"Shyvana",0.5131,80266,41184,0.5141,61737,31739,0.0057,-0.0134,-0.0023,0
"Singed",0.5216,319308,166551,0.524,310915,162919,0,-0.0228,-0.0178,0
"Sion",0.5155,274203,141352,0.5145,311310,160169,0,-0.0138,-0.0089,0
"Skarner",0.4964,23460,11646,0.5022,25904,13009,0.6232,-0.0065,0.0108,0.6341
"Sylas",0.4721,276209,130398,0.4748,309713,147052,0,0.0266,0.0316,0
"Tahm Kench",0.4949,114048,56442,0.5004,109998,55043,0.1193,-9e-04,0.0075,0.0385
"Teemo",0.5161,1006960,519692,0.5134,1104886,567248,0,-0.0111,-0.0082,0
"Tryndamere",0.5028,732673,368388,0.5014,759754,380941,0.0039,7e-04,0.0039,0.003
"Udyr",0.4476,24987,11184,0.4514,25890,11687,0,0.0396,0.0567,0
"Urgot",0.5305,866237,459539,0.5323,871538,463920,0,-0.03,-0.0271,0
"Vayne",0.4936,385672,190368,0.4914,387419,190378,0,0.0113,0.0158,0
"Vladimir",0.4816,400749,193001,0.4808,420861,202350,0,0.0202,0.0244,0
"Yasuo",0.4833,394447,190636,0.4796,409784,196532,0,0.0213,0.0256,0
"Zac",0.5189,83586,43373,0.5173,89917,46514,0,-0.0199,-0.0107,0
