"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Udyr",0.4397,28878,12698,0.4407,26407,11638,0.82,-0.0095,0.0075,0.8121
"Aatrox",0.4638,1007305,467188,0.4642,1084698,503517,0,-0.0312,-0.0142,0
"Akali",0.4353,238541,103837,0.4432,284485,126084,0.5047,-0.0113,0.0056,0.4369
"Camille",0.4814,353789,170314,0.4886,371776,181650,0,-0.0596,-0.0425,0
"Cassiopeia",0.5167,67802,35033,0.5073,72704,36883,0,-0.0735,-0.0565,0
"Cho'Gath",0.4877,347834,169639,0.4843,377950,183041,0,-0.0513,-0.0343,0
"Darius",0.5065,1979041,1002384,0.514,2280171,1172008,0,-0.0791,-0.062,0
"Dr. Mundo",0.5126,420871,215738,0.5112,477018,243852,0,-0.0843,-0.0673,0
"Fiora",0.4951,945576,468155,0.5072,1201216,609257,0,-0.0745,-0.0574,0
"Gangplank",0.4729,372041,175938,0.4702,409358,192480,0,-0.0426,-0.0255,0
"Heimerdinger",0.4933,137471,67814,0.4933,154232,76083,0,-0.062,-0.0449,0
"Illaoi",0.5016,718556,360428,0.5072,747269,379015,0,-0.0754,-0.0582,0
"Irelia",0.4437,654697,290489,0.4591,813000,373248,1e-04,-0.0253,-0.0084,0
"Jax",0.4914,943805,463786,0.4919,1184177,582497,0,-0.058,-0.0411,0
"Karma",0.4858,63731,30961,0.4849,68373,33154,0,-0.0539,-0.0369,0
"Kayle",0.5134,503242,258364,0.5094,529124,269536,0,-0.0795,-0.0625,0
"Kennen",0.4831,243875,117816,0.4796,254771,122188,0,-0.0443,-0.0272,0
"Kled",0.5131,377865,193883,0.5266,470438,247733,0,-0.0966,-0.0796,0
"Malphite",0.5144,810235,416785,0.5093,1007627,513184,0,-0.0806,-0.0636,0
"Maokai",0.5247,410532,215406,0.5267,564364,297251,0,-0.0971,-0.0802,0
"Mordekaiser",0.5014,1787974,896490,0.4999,1983632,991618,0,-0.0692,-0.0523,0
"Nasus",0.5144,1124193,578285,0.5034,1201570,604870,0,-0.0728,-0.0558,0
"Olaf",0.4792,171010,81948,0.4869,192951,93948,0,-0.0593,-0.0424,0
"Pantheon",0.4623,278820,128898,0.4618,331186,152942,0,-0.0307,-0.0137,0
"Poppy",0.4936,313246,154618,0.4956,366431,181603,0,-0.0619,-0.045,0
"Quinn",0.5042,305127,153845,0.5026,332215,166971,0,-0.0719,-0.055,0
"Renekton",0.478,1132321,541249,0.4872,1396627,680437,0,-0.0574,-0.0403,0
"Rengar",0.5105,203140,103703,0.5088,242600,123435,0,-0.0757,-0.0586,0
"Riven",0.4741,543843,257836,0.4737,598330,283429,0,-0.0419,-0.0249,0
"Rumble",0.4809,234308,112679,0.4851,191087,92696,0,-0.0575,-0.0405,0
"Ryze",0.4539,294987,133895,0.4496,292137,131345,0.1112,-0.0154,0.0016,0.0054
"Shen",0.5188,732746,380149,0.5147,924288,475731,0,-0.0869,-0.0699,0
"Sion",0.5191,246680,128052,0.5181,287409,148907,0,-0.0858,-0.0688,0
"Skarner",0.4976,24984,12432,0.5045,19034,9603,0,-0.0723,-0.0523,0
"Swain",0.5044,71418,36023,0.4985,71436,35611,0,-0.0697,-0.0527,0
"Tahm Kench",0.4875,77941,37996,0.4879,97823,47728,0,-0.0551,-0.038,0
"Teemo",0.5128,1012435,519177,0.5134,1180604,606122,0,-0.083,-0.0659,0
"Trundle",0.4914,143672,70600,0.5034,195458,98394,0,-0.0697,-0.0527,0
"Tryndamere",0.4929,848506,418229,0.4973,984316,489500,0,-0.0667,-0.0497,0
"Urgot",0.5122,445534,228203,0.5101,501172,255648,0,-0.0778,-0.0608,0
"Vayne",0.4866,446702,217365,0.4859,495767,240893,0,-0.0558,-0.0388,0
"Viktor",0.4975,35656,17739,0.4939,33870,16728,0,-0.0588,-0.0418,0
"Vladimir",0.4792,633871,303751,0.474,627909,297629,0,-0.0435,-0.0265,0
"Volibear",0.5213,264022,137635,0.5266,344440,181382,0,-0.1001,-0.0831,0
"Wukong",0.4906,68468,33590,0.4981,74229,36973,0,-0.0652,-0.0482,0
"Yasuo",0.4826,535763,258559,0.4795,573311,274903,0,-0.0463,-0.0293,0
"Yorick",0.5269,449145,236655,0.5291,478509,253179,0,-0.0965,-0.0796,0
"Zac",0.5076,144298,73246,0.5097,195289,99539,0,-0.0804,-0.0634,0
