"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Quinn",0.511,458290,234186,0.5139,386821,198787,0.0103,-0.0051,-7e-04,0.0079
"Aatrox",0.4826,1079888,521154,0.4825,1019982,492141,0,0.0278,0.0323,0
"Akali",0.4522,395614,178897,0.4543,350747,159344,0,0.0574,0.0621,0
"Camille",0.4862,427839,208015,0.4889,449721,219869,0,0.0228,0.0273,0
"Cassiopeia",0.5098,88900,45321,0.5125,78787,40378,0.7204,-0.004,0.0058,0.4725
"Cho'Gath",0.4844,508071,246110,0.4845,402182,194857,0,0.0269,0.0314,0
"Darius",0.4982,2129628,1060981,0.4998,1854183,926721,0,0.0109,0.0154,0
"Dr. Mundo",0.5157,557058,287275,0.5146,478457,246214,0.39,-0.0032,0.0013,0.5166
"Fiora",0.507,1380063,699692,0.5059,1332491,674107,0,0.0047,0.0092,0
"Gangplank",0.4652,521951,242812,0.4691,461243,216369,0,0.0425,0.0469,0
"Garen",0.5153,2611427,1345668,0.5162,2302052,1188319,0.0699,-0.0043,2e-04,0.0081
"Hecarim",0.4959,49297,24446,0.4946,68840,34048,0,0.0184,0.029,0
"Heimerdinger",0.4996,155470,77673,0.5007,138031,69112,0,0.009,0.0165,0
"Illaoi",0.5117,826195,422764,0.5105,719809,367462,0.0137,6e-04,0.005,6e-04
"Jax",0.4951,1289572,638467,0.499,1181809,589723,0,0.0127,0.0172,0
"Jayce",0.4735,383590,181630,0.4754,352551,167603,0,0.0364,0.041,0
"Kalista",0.4623,67913,31396,0.4662,55650,25944,0,0.0425,0.0543,0
"Kayle",0.504,561404,282948,0.5027,505332,254030,0,0.009,0.0135,0
"Kennen",0.4791,227702,109092,0.4824,198199,95611,0,0.028,0.0342,0
"Malphite",0.5134,1137022,583747,0.5135,1005084,516111,0.9438,-0.0021,0.0023,0.6732
"Mordekaiser",0.499,1969766,982913,0.4994,1705891,851922,0,0.0123,0.0168,0
"Nasus",0.5257,1724815,906735,0.523,1437636,751884,0,-0.0117,-0.0073,0
"Neeko",0.5059,65899,33338,0.5056,52282,26434,0.0112,0.0018,0.0139,4e-04
"Olaf",0.4909,193732,95103,0.4946,197649,97757,0,0.0156,0.0219,0
"Ornn",0.4972,1095735,544799,0.498,972914,484511,0,0.0141,0.0185,0
"Pantheon",0.458,208551,95516,0.4586,207143,94996,0,0.0523,0.0584,0
"Poppy",0.4931,373417,184132,0.4948,366716,181451,0,0.0166,0.0212,0
"Renekton",0.486,1718178,835035,0.4857,1510972,733879,0,0.0258,0.0302,0
"Rengar",0.5086,226781,115341,0.5142,187090,96202,0.7021,-0.0038,0.0026,0.8298
"Riven",0.4833,622631,300918,0.4863,579818,281965,0,0.0254,0.0299,0
"Rumble",0.4859,166826,81061,0.4859,143100,69532,0,0.0243,0.0316,0
"Ryze",0.4647,201210,93502,0.4641,166816,77419,0,0.0456,0.0524,0
"Sett",0.4972,1566813,779019,0.4987,1381927,689167,0,0.0119,0.0164,0
"Shen",0.5105,940509,480130,0.5107,867184,442871,0.0073,8e-04,0.0053,9e-04
"Shyvana",0.5135,95558,49069,0.5155,72668,37460,0.8589,-0.0056,0.0047,0.4297
"Singed",0.5221,389352,203281,0.5281,353341,186599,0,-0.0168,-0.0121,0
"Sion",0.5144,407391,209562,0.5144,363867,187173,0.6973,-0.0028,0.0018,0.6647
"Skarner",0.506,17727,8970,0.4992,16719,8346,0.0056,0.0044,0.0257,2e-04
"Swain",0.4962,68401,33941,0.4962,62019,30774,0,0.0101,0.0212,0
"Sylas",0.4709,465667,219283,0.471,350719,165189,0,0.0408,0.0455,0
"Tahm Kench",0.4977,110310,54901,0.4917,106020,52130,0,0.0189,0.0274,0
"Teemo",0.5162,1345751,694677,0.516,1188609,613322,0.0056,-0.0054,-9e-04,0.0232
"Tryndamere",0.497,1025784,509815,0.4994,911407,455157,0,0.0121,0.0166,0
"Urgot",0.5331,1069759,570289,0.5312,1015618,539496,0,-0.0198,-0.0154,0
"Vayne",0.4871,481365,234473,0.4877,391279,190827,0,0.024,0.0285,0
"Vladimir",0.4769,567358,270573,0.4769,480424,229114,0,0.0351,0.0395,0
"Volibear",0.5212,421322,219593,0.5199,377408,196214,0,-0.0083,-0.0038,0
"Yasuo",0.4871,529946,258137,0.4867,429258,208920,0,0.0244,0.0289,0
"Yorick",0.5272,599411,316009,0.5256,535579,281500,0,-0.0137,-0.0092,0
