"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Ryze",0.4649,125087,58153,0.4695,137715,64657,0.0354,-0.0081,-3e-04,0.0183
"Aatrox",0.4803,852118,409272,0.4781,848383,405612,0,-0.012,-0.0045,0
"Camille",0.4928,458045,225725,0.494,612323,302488,0,-0.033,-0.0256,0
"Cho'Gath",0.486,297862,144761,0.4852,311266,151026,0,-0.0196,-0.0122,0
"Darius",0.5017,1714049,859938,0.4956,1619122,802437,0,-0.0289,-0.0214,0
"Dr. Mundo",0.509,386796,196879,0.5102,356877,182079,0,-0.0431,-0.0357,0
"Fiora",0.5051,976425,493192,0.5034,939809,473100,0,-0.0379,-0.0304,0
"Gangplank",0.4696,375601,176382,0.472,355268,167686,0.9331,-0.0036,0.0039,0.1146
"Garen",0.5202,2069711,1076664,0.5225,2101412,1097988,0,-0.0606,-0.0532,0
"Gragas",0.4695,42999,20188,0.4753,34622,16456,0.0844,-0.0139,9e-04,0.053
"Hecarim",0.4987,95236,47494,0.4983,76890,38314,0,-0.0348,-0.0248,0
"Heimerdinger",0.5033,123490,62153,0.5011,128251,64267,0,-0.0359,-0.0281,0
"Illaoi",0.5074,602429,305672,0.5016,618595,310287,0,-0.0356,-0.0281,0
"Irelia",0.4626,836979,387186,0.4622,815045,376714,5e-04,0.0029,0.0104,0
"Jax",0.5004,1060442,530645,0.5007,1043653,522557,0,-0.0358,-0.0283,0
"Jayce",0.4764,278889,132863,0.4767,325526,155178,0,-0.012,-0.0046,0
"Kayle",0.5034,410816,206805,0.5064,455895,230865,0,-0.0394,-0.032,0
"Kennen",0.4819,182863,88122,0.4815,231706,111566,0,-0.0151,-0.0076,0
"Kled",0.5118,304223,155701,0.5093,300929,153263,0,-0.0421,-0.0347,0
"Malphite",0.5144,815708,419600,0.5148,865269,445440,0,-0.0481,-0.0407,0
"Maokai",0.5164,489012,252526,0.5214,460400,240053,0,-0.0563,-0.0489,0
"Mordekaiser",0.4996,1466441,732634,0.4953,1517234,751486,0,-0.0297,-0.0222,0
"Nasus",0.5183,1072852,556059,0.5204,1028402,535180,0,-0.0581,-0.0507,0
"Neeko",0.5083,41972,21334,0.5068,47839,24245,0,-0.0431,-0.0305,0
"Olaf",0.4886,169313,82726,0.4861,143278,69647,0,-0.0205,-0.013,0
"Pantheon",0.4627,130687,60469,0.4618,124538,57512,5e-04,0.003,0.0108,1e-04
"Poppy",0.4918,375844,184840,0.4958,354389,175706,0,-0.0288,-0.0214,0
"Quinn",0.5163,337725,174367,0.516,404054,208492,0,-0.0497,-0.0423,0
"Renekton",0.484,1225031,592915,0.4852,1195708,580158,0,-0.0194,-0.012,0
"Rengar",0.5115,153830,78684,0.5117,148689,76084,0,-0.0462,-0.0387,0
"Riven",0.4803,500899,240582,0.4773,483273,230666,0,-0.0116,-0.0041,0
"Rumble",0.4856,117177,56901,0.4846,119917,58112,0,-0.0193,-0.0113,0
"Sett",0.4988,1209133,603116,0.4955,1241582,615204,0,-0.0318,-0.0243,0
"Shen",0.5101,768790,392160,0.5156,848544,437509,0,-0.0506,-0.0431,0
"Shyvana",0.5147,67178,34577,0.5131,80266,41184,0,-0.0486,-0.0388,0
"Singed",0.5294,338966,179449,0.5216,319308,166551,0,-0.0562,-0.0487,0
"Sion",0.5111,268974,137473,0.5155,274203,141352,0,-0.0494,-0.042,0
"Skarner",0.505,15081,7616,0.4964,23460,11646,0,-0.0288,-0.0107,0
"Sylas",0.4723,269940,127493,0.4721,276209,130398,0.1184,-0.0067,8e-04,0.1143
"Tahm Kench",0.4916,99932,49127,0.4949,114048,56442,0,-0.0292,-0.021,0
"Teemo",0.5145,986970,507796,0.5161,1006960,519692,0,-0.0486,-0.0411,0
"Tryndamere",0.4984,776178,386847,0.5028,732673,368388,0,-0.0368,-0.0294,0
"Udyr",0.4539,27916,12671,0.4476,24987,11184,0,0.0098,0.0273,0
"Urgot",0.5307,887370,470927,0.5305,866237,459539,0,-0.0655,-0.0581,0
"Vayne",0.4946,390313,193049,0.4936,385672,190368,0,-0.03,-0.0225,0
"Vladimir",0.4783,407313,194818,0.4816,400749,193001,0,-0.0152,-0.0078,0
"Wukong",0.518,664588,344257,0.518,800551,414685,0,-0.0535,-0.046,0
"Zac",0.5173,80425,41604,0.5189,83586,43373,0,-0.0559,-0.0463,0
