"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Rumble",0.4925,302078,148773,0.4815,291880,140540,0,0.008,0.0131,0
"Aatrox",0.4617,844782,390036,0.4625,1110211,513473,0,0.0191,0.0242,0
"Camille",0.4847,399788,193777,0.4862,438985,213435,1e-04,-0.0078,-0.0026,1e-04
"Cassiopeia",0.5104,72932,37224,0.511,82514,42165,0,-0.0344,-0.0248,0
"Cho'Gath",0.4879,350876,171192,0.49,383921,188121,0,-0.0117,-0.0066,0
"Darius",0.4999,1792240,895941,0.504,2062355,1039427,0,-0.0238,-0.0187,0
"Dr. Mundo",0.5146,399499,205582,0.5173,435567,225319,0,-0.0382,-0.0331,0
"Fiora",0.4946,1106661,547355,0.4976,1139018,566775,0,-0.0198,-0.0147,0
"Gangplank",0.4773,395626,188832,0.4739,443530,210189,0,0.005,0.0101,0
"Garen",0.5063,1726709,874233,0.5115,1895858,969731,0,-0.0336,-0.0285,0
"Gnar",0.4855,340589,165356,0.4856,397667,193107,0.0015,-0.0067,-0.0016,8e-04
"Heimerdinger",0.4971,135157,67187,0.5044,147307,74302,0,-0.0256,-0.0184,0
"Illaoi",0.5065,710624,359931,0.5069,767142,388864,0,-0.0289,-0.0238,0
"Irelia",0.4496,604782,271910,0.4529,715211,323919,0,0.0263,0.0315,0
"Jax",0.4901,873899,428298,0.4962,885597,439433,0,-0.0175,-0.0123,0
"Jayce",0.4548,136191,61940,0.4564,147892,67498,0,0.0217,0.0289,0
"Kayle",0.5114,411757,210573,0.5154,545050,280919,0,-0.0363,-0.0311,0
"Kennen",0.4833,269818,130403,0.485,319933,155168,0.007,-0.0061,-0.001,0.0062
"Kled",0.5138,429053,220447,0.5161,461039,237942,0,-0.0368,-0.0316,0
"Lissandra",0.4832,22910,11070,0.4866,26407,12850,0.1104,-0.0154,0.0016,0.1112
"Lucian",0.4685,212844,99717,0.4674,258709,120921,0,0.0114,0.0168,0
"Maokai",0.5103,168843,86161,0.5118,181314,92797,0,-0.0318,-0.0253,0
"Mordekaiser",0.497,1730620,860118,0.5,1917384,958692,0,-0.0215,-0.0164,0
"Nasus",0.5222,912958,476747,0.5219,1067127,556934,0,-0.0427,-0.0376,0
"Neeko",0.4944,40882,20212,0.4962,41269,20478,0,-0.0233,-0.0096,0
"Olaf",0.4782,186677,89269,0.4827,194786,94023,0.8199,-0.0035,0.0028,0.4118
"Ornn",0.5099,1204508,614179,0.5116,1526021,780712,0,-0.0338,-0.0287,0
"Pantheon",0.4618,273900,126487,0.4643,320164,148652,0,0.0145,0.0196,0
"Poppy",0.4845,255252,123670,0.4895,267919,131146,0,-0.0106,-0.0053,0
"Quinn",0.5058,348209,176124,0.5067,372681,188837,0,-0.0284,-0.0233,0
"Renekton",0.4832,1070721,517372,0.4831,1192790,576237,0.3053,-0.0039,0.0012,0.1208
"Rengar",0.5009,249375,124912,0.5116,229742,117536,0,-0.0329,-0.0271,0
"Riven",0.4771,658683,314258,0.4826,692982,334433,0.1314,-0.0045,6e-04,0.3182
"Ryze",0.4509,327425,147636,0.4543,385990,175355,0,0.024,0.0291,0
"Shen",0.5096,652229,332376,0.5105,744821,380231,0,-0.0321,-0.027,0
"Singed",0.5334,376927,201053,0.5384,471836,254037,0,-0.0595,-0.0544,0
"Sion",0.5047,186517,94135,0.507,210580,106764,0,-0.0289,-0.0229,0
"Skarner",0.4983,37051,18463,0.4986,31512,15712,0,-0.0269,-0.0112,0
"Soraka",0.5532,421444,233143,0.5622,762656,428765,0,-0.0833,-0.0782,0
"Swain",0.5022,75522,37927,0.5029,80998,40734,0,-0.0241,-0.0143,0
"Sylas",0.4759,221252,105294,0.4814,251487,121066,0.7711,-0.0032,0.0024,0.9422
"Tahm Kench",0.4768,69100,32947,0.4804,76056,36537,0.0072,0.0019,0.0119,0.5876
"Teemo",0.5135,1013445,520404,0.5143,1091734,561479,0,-0.0345,-0.0294,0
"Tryndamere",0.4933,753970,371933,0.4979,859695,428042,0,-0.0191,-0.014,0
"Urgot",0.5101,465992,237703,0.5146,496252,255371,0,-0.0361,-0.031,0
"Vayne",0.4848,407569,197589,0.4884,478054,233482,0,-0.009,-0.0039,0
"Vladimir",0.4762,606341,288740,0.479,703535,336993,0.0143,6e-04,0.0058,0.0231
"Volibear",0.5111,221160,113035,0.5171,195685,101189,0,-0.0381,-0.0318,0
"Wukong",0.5048,68502,34580,0.5088,75939,38638,0,-0.0318,-0.0218,0
"Yasuo",0.4816,563524,271393,0.4851,605511,293733,0.012,-0.0058,-7e-04,0.0014
"Yorick",0.5308,448162,237884,0.5323,497328,264728,0,-0.0534,-0.0482,0
