"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Mordekaiser",0.5021,2273167,1141357,0.497,1730620,860118,0,0.0041,0.0062,0
"Aatrox",0.4697,994127,466941,0.4617,844782,390036,0,0.0342,0.0372,0
"Akali",0.4649,816342,379517,0.4626,537804,248788,0,0.0334,0.0371,0
"Camille",0.4907,515068,252744,0.4847,399788,193777,0,0.0089,0.0133,0
"Cassiopeia",0.5111,107445,54915,0.5104,72932,37224,0,-0.0179,-0.0076,0
"Cho'Gath",0.4915,492391,242010,0.4879,350876,171192,0,0.007,0.0117,0
"Darius",0.5032,2081168,1047244,0.4999,1792240,895941,0,-0.0041,-0.002,0
"Dr. Mundo",0.5215,424635,221447,0.5146,399499,205582,0,-0.0198,-0.0154,0
"Fiora",0.4996,1418138,708502,0.4946,1106661,547355,0.0012,9e-04,0.0035,1e-04
"Gangplank",0.4861,469077,228018,0.4773,395626,188832,0,0.0174,0.0219,0
"Garen",0.5074,2314780,1174519,0.5063,1726709,874233,0,-0.0104,-0.0083,0
"Gnar",0.4918,463350,227876,0.4855,340589,165356,0,0.0079,0.0127,0
"Heimerdinger",0.5036,181638,91473,0.4971,135157,67187,0.9969,-0.0038,0.0038,0.9416
"Illaoi",0.514,845289,434479,0.5065,710624,359931,0,-0.0106,-0.0073,0
"Irelia",0.454,804813,365385,0.4496,604782,271910,0,0.0463,0.0498,0
"Kayle",0.5144,498366,256359,0.5114,411757,210573,0,-0.0159,-0.0116,0
"Kennen",0.4922,373292,183734,0.4833,269818,130403,0,0.0114,0.0168,0
"Kled",0.5209,571653,297774,0.5138,429053,220447,0,-0.0189,-0.0147,0
"Lissandra",0.4849,35580,17253,0.4832,22910,11070,5e-04,0.007,0.0253,0
"Malphite",0.5189,944081,489884,0.5151,704123,362694,0,-0.02,-0.0167,0
"Maokai",0.5183,225851,117059,0.5103,168843,86161,0,-0.0152,-0.0085,0
"Nasus",0.5252,1165475,612107,0.5222,912958,476747,0,-0.0267,-0.0238,0
"Neeko",0.5014,55368,27762,0.4944,40882,20212,0.8118,-0.006,0.0077,0.2984
"Olaf",0.4841,209396,101369,0.4782,186677,89269,0,0.0161,0.0225,0
"Ornn",0.5204,1386980,721784,0.5099,1204508,614179,0,-0.0143,-0.0118,0
"Pantheon",0.4653,363041,168923,0.4618,273900,126487,0,0.0335,0.0388,0
"Poppy",0.4915,303444,149143,0.4845,255252,123670,0,0.0094,0.0149,0
"Quinn",0.5125,499429,255957,0.5058,348209,176124,0,-0.0097,-0.005,0
"Renekton",0.4891,1321804,646494,0.4832,1070721,517372,0,0.0125,0.0151,0
"Rengar",0.5047,284104,143387,0.5009,249375,124912,0.0176,-0.0061,-6e-04,3e-04
"Riven",0.4833,814649,393720,0.4771,658683,314258,0,0.0188,0.0222,0
"Rumble",0.5055,357099,180514,0.4925,302078,148773,6e-04,0.0019,0.007,0
"Ryze",0.4562,480512,219210,0.4509,327425,147636,0,0.0439,0.0487,0
"Shen",0.5169,768501,397238,0.5096,652229,332376,0,-0.0148,-0.0114,0
"Singed",0.5353,423968,226950,0.5334,376927,201053,0,-0.0378,-0.0333,0
"Sion",0.5135,236218,121298,0.5047,186517,94135,3e-04,-0.0091,-0.0027,0
"Skarner",0.5187,57370,29758,0.4983,37051,18463,0.4192,-0.0042,0.0102,0.6169
"Swain",0.5103,99194,50619,0.5022,75522,37927,0.0119,-0.0115,-0.0014,0.0052
"Tahm Kench",0.4795,86633,41541,0.4768,69100,32947,0,0.0142,0.0247,0
"Teemo",0.5179,1253614,649247,0.5135,1013445,520404,0,-0.018,-0.0152,0
"Tryndamere",0.4992,991917,495165,0.4933,753970,371933,1e-04,0.0015,0.0047,0
"Urgot",0.5128,659084,337978,0.5101,465992,237703,0,-0.0144,-0.0103,0
"Vayne",0.4874,418166,203814,0.4848,407569,197589,0,0.0111,0.0154,0
"Vladimir",0.4842,797683,386238,0.4762,606341,288740,0,0.0198,0.0234,0
"Volibear",0.5173,249468,129050,0.5111,221160,113035,0,-0.0171,-0.0112,0
"Wukong",0.5091,92855,47272,0.5048,68502,34580,0.0085,-0.0124,-0.0018,1e-04
"Yasuo",0.4897,746808,365712,0.4816,563524,271393,0,0.014,0.0177,0
"Yorick",0.5346,563542,301270,0.5308,448162,237884,0,-0.037,-0.0329,0
"Zac",0.5023,84051,42219,0.4965,73058,36273,0.8551,-0.0047,0.0056,0.7896
