"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Aphelios",0.4835,1612385,779588,0.4831,1530242,739260,0.4167,-7e-04,0.0016,0.4783
"Ashe",0.5138,2638200,1355507,0.5272,3574443,1884446,0,-0.0454,-0.0431,0
"Caitlyn",0.5063,2854421,1445193,0.505,2803428,1415731,0,-0.0228,-0.0206,0
"Corki",0.4655,22487,10468,0.4702,23039,10833,0.0011,0.0061,0.0244,1e-04
"Draven",0.5036,706801,355945,0.5034,683466,344057,0,-0.0214,-0.0181,0
"Heimerdinger",0.5161,59735,30829,0.5154,65341,33677,0,-0.0385,-0.0276,0
"Jhin",0.5222,2352272,1228356,0.5195,2352152,1221943,0,-0.0374,-0.0352,0
"Jinx",0.5172,1806235,934185,0.5168,1765036,912171,0,-0.0347,-0.0325,0
"Kai'Sa",0.4824,2436930,1175575,0.4834,2430480,1174894,0.5914,-0.0014,8e-04,0.5608
"Kog'Maw",0.5214,336417,175408,0.5163,410489,211935,0,-0.0364,-0.0321,0
"Miss Fortune",0.5042,1935976,976119,0.5015,1774195,889759,0,-0.0196,-0.0173,0
"Sivir",0.5099,561454,286285,0.5077,556119,282342,0,-0.0259,-0.0222,0
"Taliyah",0.5151,16464,8481,0.5169,17383,8985,0,-0.0397,-0.0187,0
"Tristana",0.4905,1058335,519113,0.4884,1036554,506253,0,-0.0065,-0.0038,0
"Twitch",0.5145,652796,335864,0.511,765816,391332,0,-0.0299,-0.0268,0
"Vayne",0.5081,1964180,998000,0.5074,1891022,959505,0,-0.0257,-0.0235,0
"Veigar",0.5185,79834,41394,0.5209,83723,43611,0,-0.0418,-0.0322,0
"Xayah",0.4914,736860,362093,0.4887,687334,335900,0,-0.0075,-0.0042,0
"Yasuo",0.5155,413879,213355,0.5156,403599,208096,0,-0.0349,-0.0305,0
"Ziggs",0.5125,72014,36907,0.5162,63611,32836,0,-0.0374,-0.0263,0
