"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Aphelios",0.4898,1212748,594004,0.498,1812269,902510,0,-0.0092,-0.0067,0
"Ashe",0.513,1671027,857237,0.5158,2061208,1063171,0,-0.019,-0.0169,0
"Caitlyn",0.486,3295977,1601845,0.4868,3213722,1564440,0,0.0102,0.0123,0
"Cassiopeia",0.539,88945,47941,0.533,104619,55762,0,-0.0369,-0.0283,0
"Heimerdinger",0.5201,120126,62478,0.5203,124106,64572,0,-0.0271,-0.0192,0
"Jhin",0.5124,2291939,1174390,0.5141,2504390,1287507,0,-0.0173,-0.0153,0
"Kai'Sa",0.4662,2213024,1031712,0.4671,2105861,983648,0,0.0299,0.032,0
"Kalista",0.4896,211455,103528,0.4964,256069,127113,0.2167,-0.001,0.0045,0.1299
"Kog'Maw",0.5166,166464,85995,0.5176,184569,95533,0,-0.0233,-0.0168,0
"Lucian",0.4942,2504062,1237507,0.491,2704584,1327951,0,0.0064,0.0085,0
"Quinn",0.4942,31646,15639,0.4937,36186,17865,0.8705,-0.0067,0.0079,0.1052
"Sivir",0.4954,450166,223012,0.4965,476386,236526,0.2755,-9e-04,0.0031,0.0655
"Syndra",0.4892,53648,26245,0.4944,64487,31882,0.0821,-6e-04,0.0103,0.0719
"Taliyah",0.5087,74771,38036,0.51,59217,30201,0,-0.018,-0.0066,0
"Tristana",0.4892,1098318,537297,0.4904,1192158,584634,0,0.0063,0.0089,0
"Twitch",0.5119,342517,175334,0.5099,395795,201816,0,-0.0141,-0.0097,0
"Varus",0.4932,834366,411509,0.4929,885721,436572,0,0.0045,0.0075,0
"Vayne",0.5084,1932365,982414,0.5113,2246594,1148684,0,-0.0144,-0.0124,0
"Xayah",0.4762,942139,448647,0.4756,1011920,481269,0,0.021,0.0238,0
"Yasuo",0.521,335902,175005,0.5259,374590,196997,0,-0.0301,-0.0255,0
