"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Talon",0.4977,945996,470822,0.4895,707374,346260,0,0.0061,0.0094,0
"Aatrox",0.4997,94000,46972,0.4972,76260,37916,0,-0.0159,-0.0058,1e-04
"Ahri",0.5135,1259088,646542,0.5109,1042680,532705,0,-0.0224,-0.0191,0
"Akali",0.4437,861182,382106,0.4442,751639,333878,0,0.0438,0.047,0
"Anivia",0.5154,267015,137620,0.5129,219270,112464,0,-0.027,-0.0211,0
"Aurelion Sol",0.511,122221,62455,0.5151,105962,54581,0,-0.0303,-0.0217,0
"Azir",0.4563,306567,139887,0.4562,247196,112771,0,0.0306,0.0362,0
"Brand",0.4937,165281,81599,0.4899,137632,67426,0.9696,-0.0037,0.0038,0.7859
"Camille",0.5138,46668,23978,0.5164,41265,21309,0,-0.0383,-0.0247,0
"Cho'Gath",0.5076,141368,71758,0.509,108974,55468,0,-0.0209,-0.0124,0
"Corki",0.4803,336307,161528,0.48,290090,139243,0,0.007,0.0122,0
"Ekko",0.5129,1132516,580867,0.5113,942603,481953,0,-0.0232,-0.0199,0
"Fizz",0.518,1408218,729457,0.5171,1188722,614688,0,-0.0292,-0.0259,0
"Galio",0.5195,733600,381105,0.5199,615506,320002,0,-0.0322,-0.0287,0
"Heimerdinger",0.51,205144,104623,0.5085,169936,86412,0,-0.0225,-0.0158,0
"Jayce",0.492,133750,65805,0.4887,105891,51749,0.336,-0.0063,0.0022,0.6272
"Karthus",0.4633,35790,16582,0.4599,27822,12795,0,0.0209,0.0375,0
"Kassadin",0.4975,1029676,512264,0.498,824355,410529,0,-0.0102,-0.0069,0
"Kayle",0.5027,69335,34855,0.5056,53425,27012,0,-0.0248,-0.0128,0
"Kennen",0.5108,53569,27363,0.5107,45896,23439,0,-0.0277,-0.0148,0
"LeBlanc",0.4735,1139224,539423,0.4727,897929,424451,0,0.0152,0.0185,0
"Lissandra",0.4928,382630,188560,0.4944,304716,150652,6e-04,-0.0069,-0.0019,0
"Malphite",0.5149,232189,119554,0.5157,192710,99381,0,-0.0283,-0.022,0
"Malzahar",0.5172,681291,352364,0.5141,546679,281048,0,-0.0264,-0.0227,0
"Mordekaiser",0.522,202882,105904,0.5218,180556,94214,0,-0.034,-0.0275,0
"Morgana",0.524,203296,106527,0.5214,164635,85841,0,-0.036,-0.0291,0
"Neeko",0.5088,396972,201979,0.5086,334773,170266,0,-0.0225,-0.0177,0
"Nocturne",0.5321,195256,103896,0.53,180149,95479,0,-0.043,-0.0365,0
"Orianna",0.5039,749635,377741,0.5013,643687,322680,0,-0.0136,-0.0101,0
"Pantheon",0.4833,536621,259349,0.4876,396498,193332,0.0628,-1e-04,0.0043,0.0552
"Pyke",0.5228,190691,99693,0.5211,164242,85587,0,-0.0341,-0.0273,0
"Qiyana",0.4672,327264,152898,0.4687,268526,125858,0,0.0166,0.022,0
"Quinn",0.5217,38357,20011,0.524,32328,16940,0,-0.0394,-0.0239,0
"Renekton",0.5103,153942,78557,0.5072,133630,67777,0,-0.0209,-0.0133,0
"Riven",0.4955,48218,23892,0.4899,42897,21015,0.5985,-0.0085,0.0049,0.8741
"Rumble",0.5181,233352,120900,0.5139,193203,99287,0,-0.0262,-0.0199,0
"Ryze",0.4636,505348,234279,0.4626,410209,189763,0,0.0243,0.0286,0
"Swain",0.5284,125417,66270,0.5257,97888,51460,0,-0.0402,-0.0313,0
"Sylas",0.4834,1156537,559070,0.4843,922891,446956,0,0.0031,0.0064,0
"Taliyah",0.5015,48103,24124,0.4972,40345,20060,0.0368,-0.0143,-5e-04,0.0026
"Veigar",0.5083,961648,488806,0.5058,786757,397942,0,-0.018,-0.0147,0
"Vel'Koz",0.5286,467251,246989,0.5279,434462,229352,0,-0.0402,-0.036,0
"Viktor",0.5004,327009,163635,0.5012,280512,140593,0,-0.0135,-0.0083,0
"Vladimir",0.5008,879795,440601,0.4992,753429,376112,0,-0.0114,-0.0081,0
"Xerath",0.509,491566,250207,0.5072,398790,202266,0,-0.0196,-0.0152,0
"Yasuo",0.5054,2252737,1138533,0.5144,2106352,1083507,0,-0.0265,-0.0232,0
"Zed",0.4975,1657840,824775,0.4957,1439459,713540,0,-0.0076,-0.0043,0
"Ziggs",0.5008,313327,156914,0.4999,254658,127304,0,-0.0143,-0.0088,0
"Zilean",0.5277,94518,49877,0.525,71463,37518,0,-0.0416,-0.0313,0
"Zoe",0.4823,573629,276661,0.4798,501110,240433,0,0.0074,0.0113,0
