"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Nocturne",0.5278,267369,141117,0.5248,208507,109424,0.0397,1e-04,0.0062,0.0397
"Aatrox",0.5037,110888,55854,0.5028,110427,55523,0,0.0177,0.0261,0
"Ahri",0.51,1481980,755810,0.5082,1491454,757957,0,0.014,0.02,0
"Anivia",0.5131,352537,180887,0.5149,323257,166445,0,0.0076,0.0136,0
"Annie",0.5047,451737,227992,0.502,522715,262403,0,0.0219,0.0279,0
"Aurelion Sol",0.5065,131108,66406,0.5046,150518,75951,0,0.0166,0.0237,0
"Azir",0.4545,404833,183997,0.4475,489053,218851,0,0.0749,0.0809,0
"Brand",0.4968,226170,112361,0.4968,210957,104803,0,0.0249,0.0309,0
"Camille",0.5106,46415,23699,0.5119,45817,23454,1e-04,0.0062,0.0191,0
"Cassiopeia",0.5095,724216,368988,0.51,758176,386670,0,0.013,0.0191,0
"Cho'Gath",0.5091,153946,78374,0.5063,152806,77366,0,0.0164,0.0235,0
"Diana",0.5241,1812886,950134,0.5254,1810129,951042,0.1866,-0.0051,0.001,0.6019
"Ekko",0.5161,1220122,629705,0.5157,1192163,614798,0,0.0071,0.0131,0
"Fizz",0.5204,1755089,913348,0.5182,1723624,893182,7e-04,0.0022,0.0083,0
"Gangplank",0.4744,54919,26054,0.4719,59431,28045,0,0.0461,0.0575,0
"Heimerdinger",0.5102,230086,117390,0.5141,231611,119071,0,0.0077,0.0138,0
"Irelia",0.4534,825960,374490,0.4575,777249,355591,0,0.0634,0.0694,0
"Jayce",0.4902,122530,60064,0.4878,147845,72119,0,0.0338,0.041,0
"Karma",0.4877,64982,31692,0.4902,64417,31577,0,0.029,0.04,0
"Karthus",0.4765,52087,24819,0.4739,48361,22918,0,0.0424,0.055,0
"Kassadin",0.4978,1069585,532439,0.4943,1264006,624798,0,0.0259,0.032,0
"Katarina",0.5075,1677699,851432,0.5058,1642075,830562,0,0.0166,0.0227,0
"Kayle",0.5073,72718,36890,0.5093,73812,37592,0,0.0108,0.021,0
"Kennen",0.5094,65579,33406,0.5102,62804,32043,0,0.0135,0.0246,0
"Kled",0.5498,52429,28825,0.5471,50900,27847,0,-0.0271,-0.0149,0
"LeBlanc",0.4755,1252196,595419,0.4728,1374770,649991,0,0.0482,0.0542,0
"Lissandra",0.491,338751,166327,0.4908,371289,182229,0,0.0313,0.0374,0
"Lucian",0.4682,375618,175864,0.4688,365815,171494,0,0.0532,0.0593,0
"Lux",0.5128,1379509,707412,0.5091,1182407,601963,0,0.0128,0.0188,0
"Malphite",0.5159,290360,149797,0.5137,298390,153283,0,0.0086,0.0147,0
"Malzahar",0.5175,756159,391312,0.5179,749227,388025,0,0.0047,0.0108,0
"Mordekaiser",0.5238,281051,147215,0.5248,252122,132314,0.7731,-0.0035,0.0026,0.998
"Morgana",0.5276,237579,125347,0.5273,268509,141585,0.0819,-0.0057,3e-04,0.0859
"Neeko",0.5139,479848,246594,0.5118,483285,247345,0,0.0096,0.0157,0
"Pantheon",0.49,641092,314135,0.4868,602501,293297,0,0.0354,0.0415,0
"Pyke",0.5206,223865,116544,0.521,215927,112498,0.0187,6e-04,0.0067,0.0133
"Qiyana",0.4633,423417,196169,0.4607,399879,184224,0,0.0601,0.0661,0
"Quinn",0.5094,33866,17251,0.5166,35456,18317,0.0321,7e-04,0.0154,0.0043
"Renekton",0.516,185233,95580,0.5136,194464,99877,0,0.0077,0.014,0
"Rumble",0.5178,297909,154257,0.5176,266095,137731,0,0.0042,0.0103,0
"Swain",0.531,146379,77727,0.5307,145620,77281,0.0025,-0.0092,-0.002,5e-04
"Sylas",0.4853,1584298,768860,0.4839,1430590,692263,0,0.0386,0.0447,0
"Syndra",0.504,1218536,614142,0.5049,1329227,671127,0,0.0169,0.023,0
"Taliyah",0.4998,55256,27617,0.498,54052,26918,0,0.0192,0.0312,0
"Twisted Fate",0.4874,647532,315607,0.4871,598008,291290,0,0.0343,0.0404,0
"Veigar",0.5095,1292359,658457,0.5115,1254040,641441,0,0.0106,0.0167,0
"Vel'Koz",0.5281,523486,276453,0.5307,534708,283770,1e-04,-0.0092,-0.0031,0
"Viktor",0.5049,406818,205402,0.5049,399638,201777,0,0.017,0.0231,0
"Vladimir",0.5014,967846,485278,0.5018,1032865,518292,0,0.0198,0.0258,0
"Xerath",0.5132,673819,345804,0.5138,658083,338123,0,0.007,0.0131,0
"Yasuo",0.502,2715251,1363056,0.5066,2685377,1360412,0,0.0171,0.0232,0
"Zed",0.499,2082412,1039124,0.4994,2034886,1016222,0,0.0223,0.0283,0
"Ziggs",0.5061,413387,209215,0.5057,396027,200271,0,0.0168,0.0229,0
"Zilean",0.5304,128287,68043,0.5293,133502,70663,0.0072,-0.009,-0.0014,0.01
"Zoe",0.476,713929,339830,0.4762,719340,342550,0,0.0474,0.0534,0
