"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Yuumi",0.4653,1525747,709930,0.4705,1345091,632865,0,-0.0065,-0.0041,0
"Anivia",0.4528,31481,14255,0.4517,32195,14542,0,0.0108,0.0261,0
"Annie",0.4831,56358,27227,0.4843,56636,27429,0,-0.018,-0.0063,0
"Bard",0.5149,716871,369117,0.5136,709865,364587,0,-0.0445,-0.0412,0
"Blitzcrank",0.5136,1640245,842430,0.5131,1549891,795249,0,-0.0436,-0.0412,0
"Brand",0.5252,875385,459752,0.5262,854784,449787,0,-0.0572,-0.0542,0
"Braum",0.4861,505004,245482,0.4884,475505,232237,0,-0.0199,-0.0159,0
"Fiddlesticks",0.4873,93072,45354,0.4907,84239,41336,0,-0.0251,-0.0156,0
"Galio",0.5143,253227,130235,0.5127,240067,123082,0,-0.0462,-0.0406,0
"Janna",0.5222,611165,319150,0.5204,596182,310253,0,-0.0521,-0.0485,0
"Karma",0.4998,999188,499394,0.4966,1059826,526310,0,-0.0277,-0.025,0
"Leona",0.5085,1634095,830937,0.5089,1601248,814875,0,-0.0395,-0.0371,0
"Lulu",0.5144,1592030,818940,0.5154,1707980,880293,0,-0.0461,-0.0437,0
"Lux",0.5041,1759432,886930,0.5025,1763294,886055,0,-0.0333,-0.0309,0
"Malphite",0.4885,495466,242035,0.4879,482181,235256,0,-0.0197,-0.0157,0
"Maokai",0.5224,213634,111602,0.5226,215695,112722,0,-0.0542,-0.0482,0
"Morgana",0.4946,1684408,833108,0.4948,1655895,819337,0,-0.0258,-0.0234,0
"Nami",0.5154,844992,435509,0.5127,788548,404289,0,-0.0439,-0.0408,0
"Nautilus",0.5015,1823337,914404,0.4999,1791998,895820,0,-0.0306,-0.0282,0
"Neeko",0.4846,134801,65325,0.4835,143194,69234,0,-0.0177,-0.0104,0
"Pantheon",0.4956,161256,79918,0.4994,232989,116355,0,-0.0309,-0.0252,0
"Poppy",0.4786,57199,27375,0.4827,53489,25819,3e-04,-0.0171,-0.0051,0
"Senna",0.5004,2096722,1049200,0.4999,1885711,942667,0,-0.0302,-0.0278,0
"Sett",0.4793,512769,245770,0.4811,531682,255792,0,-0.012,-0.0082,0
"Shaco",0.5246,183811,96427,0.5228,200361,104749,0,-0.0542,-0.048,0
"Shen",0.4881,136957,66849,0.4889,132427,64744,0,-0.0225,-0.0149,0
"Sion",0.4962,26478,13138,0.5028,27658,13906,0,-0.0431,-0.0265,0
"Sona",0.525,578750,303844,0.5237,567357,297125,0,-0.0541,-0.0504,0
"Soraka",0.5182,1099262,569638,0.5176,1077451,557689,0,-0.0484,-0.0458,0
"Swain",0.5219,565485,295127,0.5207,574693,299243,0,-0.0526,-0.0489,0
"Tahm Kench",0.4488,121919,54717,0.4516,116468,52597,0,0.0121,0.0202,0
"Taliyah",0.4988,14716,7340,0.5076,14298,7258,0,-0.0489,-0.0256,0
"Taric",0.5224,329994,172389,0.5231,336810,176185,0,-0.0557,-0.0509,0
"Thresh",0.4876,2386919,1163862,0.4863,2426165,1179844,0,-0.0165,-0.0141,0
"Veigar",0.4827,178175,86005,0.4814,175834,84646,0,-0.015,-0.0084,0
"Vel'Koz",0.5157,411625,212275,0.512,410011,209926,0,-0.0435,-0.0392,0
"Xerath",0.5075,425544,215964,0.5075,418561,212420,0,-0.0375,-0.0332,0
"Ziggs",0.4886,38789,18952,0.4862,38373,18657,1e-04,-0.0215,-0.0073,0
"Zilean",0.5189,416772,216263,0.5153,398617,205407,0,-0.0467,-0.0423,0
"Zyra",0.518,657587,340630,0.518,670061,347092,0,-0.0484,-0.045,0
