"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Lulu",0.5049,883594,446127,0.5062,931779,471667,0.0566,-0.0029,0,0.0799
"Alistar",0.4898,484239,237180,0.49,548283,268659,0,0.0147,0.0185,0
"Anivia",0.4463,31295,13967,0.4535,36727,16656,0,0.0427,0.0571,0
"Bard",0.5124,514877,263823,0.5157,675341,348273,0,-0.0109,-0.0076,0
"Blitzcrank",0.5229,1953264,1021362,0.5253,2233637,1173330,0,-0.0206,-0.0178,0
"Brand",0.5192,885311,459653,0.5191,953658,495044,0,-0.0143,-0.0114,0
"Braum",0.486,654535,318104,0.4841,752725,364394,0,0.0204,0.0236,0
"Fiddlesticks",0.4931,288152,142088,0.4928,314109,154793,0,0.0102,0.0151,0
"Janna",0.5182,684467,354691,0.5182,686444,355715,0,-0.0135,-0.0101,0
"Lux",0.482,1530316,737612,0.4823,1628698,785521,0,0.0219,0.0248,0
"Maokai",0.5191,100465,52151,0.5206,117622,61234,0,-0.0189,-0.0108,0
"Morgana",0.4893,1865575,912826,0.4892,1963818,960700,0,0.0154,0.0183,0
"Nami",0.5306,1425528,756385,0.5307,1465077,777516,0,-0.0257,-0.0228,0
"Neeko",0.4736,126533,59926,0.4736,128076,60657,0,0.0287,0.0364,0
"Poppy",0.4756,52284,24866,0.4744,57279,27173,0,0.0257,0.0372,0
"Pyke",0.4872,1662467,809954,0.488,1869528,912330,0,0.0168,0.0197,0
"Rakan",0.4897,640146,313479,0.49,716902,351282,0,0.0148,0.0181,0
"Shaco",0.5234,191162,100054,0.5238,219653,115054,0,-0.0204,-0.0145,0
"Shen",0.4802,125003,60026,0.4816,141141,67974,0,0.024,0.0314,0
"Sion",0.4911,25449,12498,0.4866,29006,14114,0,0.0177,0.0339,0
"Soraka",0.5176,1173889,607605,0.5222,1501506,784086,0,-0.0178,-0.015,0
"Swain",0.5193,633441,328946,0.5185,691076,358323,0,-0.014,-0.0107,0
"Tahm Kench",0.4603,149734,68923,0.4521,154000,69623,0,0.0504,0.0574,0
"Taliyah",0.4967,27108,13465,0.5011,22404,11227,0.5206,-0.0123,0.0062,0.1325
"Taric",0.5263,340583,179249,0.5273,403364,212694,0,-0.0231,-0.0187,0
"Veigar",0.4759,218700,104079,0.4776,236314,112864,0,0.0266,0.0323,0
"Vel'Koz",0.5063,410669,207922,0.5057,447736,226420,0.415,-0.0012,0.0029,0.5818
"Volibear",0.4901,54591,26755,0.4927,56125,27653,0,0.0079,0.0196,0
"Xerath",0.498,385205,191832,0.4959,422642,209588,0,0.0092,0.0135,0
"Zilean",0.514,358509,184274,0.5163,399532,206278,0,-0.0132,-0.0088,0
"Zyra",0.5161,627638,323924,0.5168,676572,349652,0,-0.0121,-0.0088,0
