"champName","winRate.x","gamesPlayed.x","gamesWon.x","winRate.y","gamesPlayed.y","gamesWon.y","mcNemarP","lbound95","ubound95","chiP"
"Malphite",0.4873,358938,174910,0.4917,373249,183527,4e-04,-0.0065,-0.0019,2e-04
"Alistar",0.49,548283,268659,0.4903,511253,250667,0.2632,-0.001,0.0036,0.1927
"Anivia",0.4535,36727,16656,0.4483,42473,19041,0,0.0374,0.0508,0
"Bard",0.5157,675341,348273,0.5192,681028,353590,0,-0.0293,-0.0248,0
"Blitzcrank",0.5253,2233637,1173330,0.5233,2133335,1116374,0,-0.0343,-0.0298,0
"Brand",0.5191,953658,495044,0.5216,916861,478235,0,-0.0321,-0.0276,0
"Braum",0.4841,752725,364394,0.484,671830,325166,0,0.0053,0.0098,0
"Fiddlesticks",0.4928,314109,154793,0.4923,297369,146395,0.7672,-0.0029,0.0022,0.6256
"Janna",0.5182,686444,355715,0.5247,654643,343491,0,-0.0347,-0.0302,0
"Karma",0.4927,582542,287018,0.497,568129,282360,0,-0.007,-0.0025,0
"Lulu",0.5062,931779,471667,0.511,890917,455259,0,-0.0215,-0.0169,0
"Maokai",0.5206,117622,61234,0.5266,153606,80889,0,-0.0389,-0.0318,0
"Morgana",0.4892,1963818,960700,0.4902,1914586,938530,0.3028,-0.0011,0.0035,0.0933
"Nami",0.5307,1465077,777516,0.5351,1340349,717221,0,-0.0456,-0.0411,0
"Neeko",0.4736,128076,60657,0.4729,122029,57708,0,0.014,0.0219,0
"Poppy",0.4744,57279,27173,0.4811,58493,28141,0,0.0079,0.0194,0
"Pyke",0.488,1869528,912330,0.4892,1752602,857373,0.1659,-7e-04,0.0039,0.0055
"Rakan",0.49,716902,351282,0.4928,670827,330584,0.1082,-0.0041,4e-04,0.2815
"Shaco",0.5238,219653,115054,0.5234,236520,123795,0,-0.0342,-0.0285,0
"Shen",0.4816,141141,67974,0.4843,141477,68517,0,0.005,0.0124,0
"Sion",0.4866,29006,14114,0.4945,28864,14273,0.0711,-0.0158,6e-04,0.361
"Swain",0.5185,691076,358323,0.5199,638026,331710,0,-0.0302,-0.0257,0
"Tahm Kench",0.4521,154000,69623,0.4449,139518,62072,0,0.043,0.0504,0
"Taliyah",0.5011,22404,11227,0.4961,18593,9224,0.5831,-0.013,0.0073,0.2415
"Taric",0.5273,403364,212694,0.5277,400300,211238,0,-0.0383,-0.0337,0
"Thresh",0.4912,3065458,1505753,0.4908,2735012,1342344,0.2317,-9e-04,0.0037,0.3016
"Veigar",0.4776,236314,112864,0.4775,230246,109942,0,0.0119,0.0177,0
"Vel'Koz",0.5057,447736,226420,0.5074,428587,217465,0,-0.0175,-0.013,0
"Volibear",0.4927,56125,27653,0.498,63210,31479,0.0582,-0.0108,2e-04,0.0034
"Xerath",0.4959,422642,209588,0.5007,404193,202379,0,-0.0115,-0.007,0
"Ziggs",0.486,43312,21050,0.4898,45724,22396,0.8946,-0.0069,0.006,0.4448
"Zilean",0.5163,399532,206278,0.5196,420549,218517,0,-0.0305,-0.0259,0
"Zyra",0.5168,676572,349652,0.5153,636076,327770,0,-0.0266,-0.0221,0
