"TopMerged1.champName","TopMerged1.winRate.x","TopMerged1.gamesPlayed.x","TopMerged1.gamesWon.x","TopMerged1.winRate.y","TopMerged1.gamesPlayed.y","TopMerged1.gamesWon.y","TopMerged1.HOlessequal","TopMerged1.HOgreaterequal","TopMerged1.HOequal"
"Aatrox",0.4697,994127,466941,0.4617,844782,390036,1,0,0
"Akali",0.4649,816342,379517,0.4626,537804,248788,0.9957,0.0043,0.0086
"Camille",0.4907,515068,252744,0.4847,399788,193777,1,0,0
"Cassiopeia",0.5111,107445,54915,0.5104,72932,37224,0.6157,0.3843,0.7686
"Cho'Gath",0.4915,492391,242010,0.4879,350876,171192,0.9994,6e-04,0.0011
"Darius",0.5032,2081168,1047244,0.4999,1792240,895941,1,0,0
"Dr. Mundo",0.5215,424635,221447,0.5146,399499,205582,1,0,0
"Fiora",0.4996,1418138,708502,0.4946,1106661,547355,1,0,0
"Gangplank",0.4861,469077,228018,0.4773,395626,188832,1,0,0
"Garen",0.5074,2314780,1174519,0.5063,1726709,874233,0.9856,0.0144,0.0287
"Gnar",0.4918,463350,227876,0.4855,340589,165356,1,0,0
"Heimerdinger",0.5036,181638,91473,0.4971,135157,67187,0.9999,1e-04,3e-04
"Illaoi",0.514,845289,434479,0.5065,710624,359931,1,0,0
"Irelia",0.454,804813,365385,0.4496,604782,271910,1,0,0
"Kayle",0.5144,498366,256359,0.5114,411757,210573,0.9978,0.0022,0.0044
"Kennen",0.4922,373292,183734,0.4833,269818,130403,1,0,0
"Kled",0.5209,571653,297774,0.5138,429053,220447,1,0,0
"Lissandra",0.4849,35580,17253,0.4832,22910,11070,0.6571,0.3429,0.6859
"Malphite",0.5189,944081,489884,0.5151,704123,362694,1,0,0
"Maokai",0.5183,225851,117059,0.5103,168843,86161,1,0,0
"Nasus",0.5252,1165475,612107,0.5222,912958,476747,1,0,0
"Neeko",0.5014,55368,27762,0.4944,40882,20212,0.9842,0.0158,0.0315
"Olaf",0.4841,209396,101369,0.4782,186677,89269,0.9999,1e-04,2e-04
"Ornn",0.5204,1386980,721784,0.5099,1204508,614179,1,0,0
"Pantheon",0.4653,363041,168923,0.4618,273900,126487,0.9972,0.0028,0.0056
"Poppy",0.4915,303444,149143,0.4845,255252,123670,1,0,0
"Quinn",0.5125,499429,255957,0.5058,348209,176124,1,0,0
"Renekton",0.4891,1321804,646494,0.4832,1070721,517372,1,0,0
"Rengar",0.5047,284104,143387,0.5009,249375,124912,0.9972,0.0028,0.0056
"Riven",0.4833,814649,393720,0.4771,658683,314258,1,0,0
"Rumble",0.5055,357099,180514,0.4925,302078,148773,1,0,0
"Ryze",0.4562,480512,219210,0.4509,327425,147636,1,0,0
"Shen",0.5169,768501,397238,0.5096,652229,332376,1,0,0
"Singed",0.5353,423968,226950,0.5334,376927,201053,0.9555,0.0445,0.0889
"Sion",0.5135,236218,121298,0.5047,186517,94135,1,0,0
"Skarner",0.5187,57370,29758,0.4983,37051,18463,1,0,0
"Swain",0.5103,99194,50619,0.5022,75522,37927,0.9996,4e-04,8e-04
"Tahm Kench",0.4795,86633,41541,0.4768,69100,32947,0.8557,0.1443,0.2886
"Teemo",0.5179,1253614,649247,0.5135,1013445,520404,1,0,0
"Tryndamere",0.4992,991917,495165,0.4933,753970,371933,1,0,0
"Urgot",0.5128,659084,337978,0.5101,465992,237703,0.9976,0.0024,0.0048
"Vayne",0.4874,418166,203814,0.4848,407569,197589,0.991,0.009,0.0181
"Vladimir",0.4842,797683,386238,0.4762,606341,288740,1,0,0
"Volibear",0.5173,249468,129050,0.5111,221160,113035,1,0,0
"Wukong",0.5091,92855,47272,0.5048,68502,34580,0.9559,0.0441,0.0883
"Yasuo",0.4897,746808,365712,0.4816,563524,271393,1,0,0
"Yorick",0.5346,563542,301270,0.5308,448162,237884,0.9999,1e-04,1e-04
"Zac",0.5023,84051,42219,0.4965,73058,36273,0.9892,0.0108,0.0217
